fecha_orden,hora,numero_de_orden,item,cantidad
2022-01-01,00:00:00,2200001,106,1
2022-01-01,00:00:00,2200001,206,1
2022-01-01,00:00:00,2200001,306,1
2022-01-01,00:00:00,2200001,400,1
2022-01-01,00:00:00,2200001,507,1
2022-01-01,00:36:00,2200002,107,1
2022-01-01,00:36:00,2200002,207,1
2022-01-01,00:36:00,2200002,306,1
2022-01-01,00:36:00,2200002,411,1
2022-01-01,00:36:00,2200002,510,1
2022-01-01,01:12:00,2200003,108,1
2022-01-01,01:12:00,2200003,200,1
2022-01-01,01:12:00,2200003,300,1
2022-01-01,01:12:00,2200003,412,1
2022-01-01,01:12:00,2200003,505,1
2022-01-01,01:48:00,2200004,106,1
2022-01-01,01:48:00,2200004,204,1
2022-01-01,01:48:00,2200004,302,1
2022-01-01,01:48:00,2200004,403,1
2022-01-01,01:48:00,2200004,500,1
2022-01-01,02:24:00,2200005,106,1
2022-01-01,02:24:00,2200005,202,1
2022-01-01,02:24:00,2200005,308,1
2022-01-01,02:24:00,2200005,409,1
2022-01-01,02:24:00,2200005,511,1
2022-01-01,03:00:00,2200006,104,1
2022-01-01,03:00:00,2200006,208,1
2022-01-01,03:00:00,2200006,308,1
2022-01-01,03:00:00,2200006,408,1
2022-01-01,03:00:00,2200006,508,1
2022-01-01,03:36:00,2200007,103,1
2022-01-01,03:36:00,2200007,215,1
2022-01-01,03:36:00,2200007,302,1
2022-01-01,03:36:00,2200007,404,1
2022-01-01,03:36:00,2200007,502,1
2022-01-01,04:12:00,2200008,107,1
2022-01-01,04:12:00,2200008,215,1
2022-01-01,04:12:00,2200008,312,1
2022-01-01,04:12:00,2200008,410,1
2022-01-01,04:12:00,2200008,504,1
2022-01-01,04:48:00,2200009,108,1
2022-01-01,04:48:00,2200009,209,1
2022-01-01,04:48:00,2200009,309,1
2022-01-01,04:48:00,2200009,409,1
2022-01-01,04:48:00,2200009,511,1
2022-01-01,05:24:00,2200010,100,0
2022-01-01,05:24:00,2200010,204,1
2022-01-01,05:24:00,2200010,301,1
2022-01-01,05:24:00,2200010,411,1
2022-01-01,05:24:00,2200010,505,1
2022-01-01,06:00:00,2200011,106,1
2022-01-01,06:00:00,2200011,206,1
2022-01-01,06:00:00,2200011,312,1
2022-01-01,06:00:00,2200011,402,1
2022-01-01,06:00:00,2200011,511,1
2022-01-01,06:36:00,2200012,101,1
2022-01-01,06:36:00,2200012,217,1
2022-01-01,06:36:00,2200012,309,1
2022-01-01,06:36:00,2200012,412,1
2022-01-01,06:36:00,2200012,504,1
2022-01-01,07:12:00,2200013,102,1
2022-01-01,07:12:00,2200013,213,1
2022-01-01,07:12:00,2200013,309,1
2022-01-01,07:12:00,2200013,406,1
2022-01-01,07:12:00,2200013,507,1
2022-01-01,07:48:00,2200014,101,1
2022-01-01,07:48:00,2200014,218,1
2022-01-01,07:48:00,2200014,305,1
2022-01-01,07:48:00,2200014,402,1
2022-01-01,07:48:00,2200014,501,1
2022-01-01,08:24:00,2200015,109,1
2022-01-01,08:24:00,2200015,206,1
2022-01-01,08:24:00,2200015,311,1
2022-01-01,08:24:00,2200015,406,1
2022-01-01,08:24:00,2200015,501,1
2022-01-01,09:00:00,2200016,103,1
2022-01-01,09:00:00,2200016,213,1
2022-01-01,09:00:00,2200016,300,1
2022-01-01,09:00:00,2200016,411,1
2022-01-01,09:00:00,2200016,510,1
2022-01-01,09:36:00,2200017,101,1
2022-01-01,09:36:00,2200017,210,1
2022-01-01,09:36:00,2200017,300,1
2022-01-01,09:36:00,2200017,405,1
2022-01-01,09:36:00,2200017,500,1
2022-01-01,10:12:00,2200018,109,1
2022-01-01,10:12:00,2200018,217,1
2022-01-01,10:12:00,2200018,310,1
2022-01-01,10:12:00,2200018,403,1
2022-01-01,10:12:00,2200018,509,1
2022-01-01,10:48:00,2200019,109,1
2022-01-01,10:48:00,2200019,213,1
2022-01-01,10:48:00,2200019,303,1
2022-01-01,10:48:00,2200019,412,1
2022-01-01,10:48:00,2200019,501,1
2022-01-01,11:24:00,2200020,101,1
2022-01-01,11:24:00,2200020,214,1
2022-01-01,11:24:00,2200020,311,1
2022-01-01,11:24:00,2200020,413,1
2022-01-01,11:24:00,2200020,506,1
2022-01-01,12:00:00,2200021,109,1
2022-01-01,12:00:00,2200021,203,1
2022-01-01,12:00:00,2200021,308,1
2022-01-01,12:00:00,2200021,401,1
2022-01-01,12:00:00,2200021,502,1
2022-01-01,12:36:00,2200022,103,1
2022-01-01,12:36:00,2200022,215,1
2022-01-01,12:36:00,2200022,304,1
2022-01-01,12:36:00,2200022,401,1
2022-01-01,12:36:00,2200022,500,1
2022-01-01,13:12:00,2200023,100,0
2022-01-01,13:12:00,2200023,201,1
2022-01-01,13:12:00,2200023,303,1
2022-01-01,13:12:00,2200023,413,1
2022-01-01,13:12:00,2200023,504,1
2022-01-01,13:48:00,2200024,103,1
2022-01-01,13:48:00,2200024,211,1
2022-01-01,13:48:00,2200024,312,1
2022-01-01,13:48:00,2200024,406,1
2022-01-01,13:48:00,2200024,506,1
2022-01-01,14:24:00,2200025,103,1
2022-01-01,14:24:00,2200025,214,1
2022-01-01,14:24:00,2200025,307,1
2022-01-01,14:24:00,2200025,414,1
2022-01-01,14:24:00,2200025,506,1
2022-01-01,15:00:00,2200026,101,1
2022-01-01,15:00:00,2200026,217,1
2022-01-01,15:00:00,2200026,300,1
2022-01-01,15:00:00,2200026,414,1
2022-01-01,15:00:00,2200026,503,1
2022-01-01,15:36:00,2200027,104,1
2022-01-01,15:36:00,2200027,214,1
2022-01-01,15:36:00,2200027,302,1
2022-01-01,15:36:00,2200027,400,1
2022-01-01,15:36:00,2200027,501,1
2022-01-01,16:12:00,2200028,103,1
2022-01-01,16:12:00,2200028,215,1
2022-01-01,16:12:00,2200028,300,1
2022-01-01,16:12:00,2200028,401,1
2022-01-01,16:12:00,2200028,505,1
2022-01-01,16:48:00,2200029,105,1
2022-01-01,16:48:00,2200029,213,1
2022-01-01,16:48:00,2200029,311,1
2022-01-01,16:48:00,2200029,405,1
2022-01-01,16:48:00,2200029,504,1
2022-01-01,17:24:00,2200030,103,1
2022-01-01,17:24:00,2200030,210,1
2022-01-01,17:24:00,2200030,301,1
2022-01-01,17:24:00,2200030,405,1
2022-01-01,17:24:00,2200030,501,1
2022-01-01,18:00:00,2200031,104,1
2022-01-01,18:00:00,2200031,213,1
2022-01-01,18:00:00,2200031,303,1
2022-01-01,18:00:00,2200031,403,1
2022-01-01,18:00:00,2200031,504,1
2022-01-01,18:36:00,2200032,104,1
2022-01-01,18:36:00,2200032,212,1
2022-01-01,18:36:00,2200032,302,1
2022-01-01,18:36:00,2200032,412,1
2022-01-01,18:36:00,2200032,502,1
2022-01-01,19:12:00,2200033,104,1
2022-01-01,19:12:00,2200033,217,1
2022-01-01,19:12:00,2200033,313,1
2022-01-01,19:12:00,2200033,408,1
2022-01-01,19:12:00,2200033,512,1
2022-01-01,19:48:00,2200034,105,1
2022-01-01,19:48:00,2200034,211,1
2022-01-01,19:48:00,2200034,309,1
2022-01-01,19:48:00,2200034,412,1
2022-01-01,19:48:00,2200034,511,1
2022-01-01,20:24:00,2200035,107,1
2022-01-01,20:24:00,2200035,214,1
2022-01-01,20:24:00,2200035,310,1
2022-01-01,20:24:00,2200035,413,1
2022-01-01,20:24:00,2200035,512,1
2022-01-01,21:00:00,2200036,104,1
2022-01-01,21:00:00,2200036,205,1
2022-01-01,21:00:00,2200036,305,1
2022-01-01,21:00:00,2200036,414,1
2022-01-01,21:00:00,2200036,502,1
2022-01-01,21:36:00,2200037,105,1
2022-01-01,21:36:00,2200037,218,1
2022-01-01,21:36:00,2200037,303,1
2022-01-01,21:36:00,2200037,408,1
2022-01-01,21:36:00,2200037,500,1
2022-01-01,22:12:00,2200038,107,1
2022-01-01,22:12:00,2200038,203,1
2022-01-01,22:12:00,2200038,303,1
2022-01-01,22:12:00,2200038,403,1
2022-01-01,22:12:00,2200038,510,1
2022-01-01,22:48:00,2200039,107,1
2022-01-01,22:48:00,2200039,213,1
2022-01-01,22:48:00,2200039,302,1
2022-01-01,22:48:00,2200039,406,1
2022-01-01,22:48:00,2200039,501,1
2022-01-01,23:24:00,2200040,100,0
2022-01-01,23:24:00,2200040,203,1
2022-01-01,23:24:00,2200040,304,1
2022-01-01,23:24:00,2200040,400,1
2022-01-01,23:24:00,2200040,502,1
2022-01-02,00:00:00,2200041,105,1
2022-01-02,00:00:00,2200041,209,1
2022-01-02,00:00:00,2200041,300,1
2022-01-02,00:00:00,2200041,408,1
2022-01-02,00:00:00,2200041,502,1
2022-01-02,00:36:00,2200042,103,1
2022-01-02,00:36:00,2200042,212,1
2022-01-02,00:36:00,2200042,300,1
2022-01-02,00:36:00,2200042,405,1
2022-01-02,00:36:00,2200042,503,1
2022-01-02,01:12:00,2200043,106,1
2022-01-02,01:12:00,2200043,209,1
2022-01-02,01:12:00,2200043,304,1
2022-01-02,01:12:00,2200043,409,1
2022-01-02,01:12:00,2200043,504,1
2022-01-02,01:48:00,2200044,101,1
2022-01-02,01:48:00,2200044,215,1
2022-01-02,01:48:00,2200044,301,1
2022-01-02,01:48:00,2200044,410,1
2022-01-02,01:48:00,2200044,502,1
2022-01-02,02:24:00,2200045,106,1
2022-01-02,02:24:00,2200045,207,1
2022-01-02,02:24:00,2200045,300,1
2022-01-02,02:24:00,2200045,406,1
2022-01-02,02:24:00,2200045,510,1
2022-01-02,03:00:00,2200046,105,1
2022-01-02,03:00:00,2200046,202,1
2022-01-02,03:00:00,2200046,313,1
2022-01-02,03:00:00,2200046,407,1
2022-01-02,03:00:00,2200046,503,1
2022-01-02,03:36:00,2200047,108,1
2022-01-02,03:36:00,2200047,216,1
2022-01-02,03:36:00,2200047,306,1
2022-01-02,03:36:00,2200047,401,1
2022-01-02,03:36:00,2200047,504,1
2022-01-02,04:12:00,2200048,104,1
2022-01-02,04:12:00,2200048,202,1
2022-01-02,04:12:00,2200048,310,1
2022-01-02,04:12:00,2200048,409,1
2022-01-02,04:12:00,2200048,507,1
2022-01-02,04:48:00,2200049,101,1
2022-01-02,04:48:00,2200049,217,1
2022-01-02,04:48:00,2200049,311,1
2022-01-02,04:48:00,2200049,407,1
2022-01-02,04:48:00,2200049,502,1
2022-01-02,05:24:00,2200050,103,1
2022-01-02,05:24:00,2200050,213,1
2022-01-02,05:24:00,2200050,304,1
2022-01-02,05:24:00,2200050,406,1
2022-01-02,05:24:00,2200050,507,1
2022-01-02,06:00:00,2200051,106,1
2022-01-02,06:00:00,2200051,204,1
2022-01-02,06:00:00,2200051,309,1
2022-01-02,06:00:00,2200051,412,1
2022-01-02,06:00:00,2200051,503,1
2022-01-02,06:36:00,2200052,100,0
2022-01-02,06:36:00,2200052,201,1
2022-01-02,06:36:00,2200052,306,1
2022-01-02,06:36:00,2200052,414,1
2022-01-02,06:36:00,2200052,508,1
2022-01-02,07:12:00,2200053,109,1
2022-01-02,07:12:00,2200053,212,1
2022-01-02,07:12:00,2200053,307,1
2022-01-02,07:12:00,2200053,403,1
2022-01-02,07:12:00,2200053,500,1
2022-01-02,07:48:00,2200054,109,1
2022-01-02,07:48:00,2200054,212,1
2022-01-02,07:48:00,2200054,303,1
2022-01-02,07:48:00,2200054,404,1
2022-01-02,07:48:00,2200054,508,1
2022-01-02,08:24:00,2200055,102,1
2022-01-02,08:24:00,2200055,214,1
2022-01-02,08:24:00,2200055,306,1
2022-01-02,08:24:00,2200055,405,1
2022-01-02,08:24:00,2200055,505,1
2022-01-02,09:00:00,2200056,102,1
2022-01-02,09:00:00,2200056,214,1
2022-01-02,09:00:00,2200056,306,1
2022-01-02,09:00:00,2200056,409,1
2022-01-02,09:00:00,2200056,505,1
2022-01-02,09:36:00,2200057,104,1
2022-01-02,09:36:00,2200057,208,1
2022-01-02,09:36:00,2200057,300,1
2022-01-02,09:36:00,2200057,414,1
2022-01-02,09:36:00,2200057,505,1
2022-01-02,10:12:00,2200058,108,1
2022-01-02,10:12:00,2200058,206,1
2022-01-02,10:12:00,2200058,304,1
2022-01-02,10:12:00,2200058,412,1
2022-01-02,10:12:00,2200058,502,1
2022-01-02,10:48:00,2200059,109,1
2022-01-02,10:48:00,2200059,213,1
2022-01-02,10:48:00,2200059,307,1
2022-01-02,10:48:00,2200059,411,1
2022-01-02,10:48:00,2200059,504,1
2022-01-02,11:24:00,2200060,102,1
2022-01-02,11:24:00,2200060,218,1
2022-01-02,11:24:00,2200060,311,1
2022-01-02,11:24:00,2200060,401,1
2022-01-02,11:24:00,2200060,506,1
2022-01-02,12:00:00,2200061,104,1
2022-01-02,12:00:00,2200061,201,1
2022-01-02,12:00:00,2200061,305,1
2022-01-02,12:00:00,2200061,407,1
2022-01-02,12:00:00,2200061,505,1
2022-01-02,12:36:00,2200062,109,1
2022-01-02,12:36:00,2200062,208,1
2022-01-02,12:36:00,2200062,303,1
2022-01-02,12:36:00,2200062,409,1
2022-01-02,12:36:00,2200062,506,1
2022-01-02,13:12:00,2200063,105,1
2022-01-02,13:12:00,2200063,203,1
2022-01-02,13:12:00,2200063,301,1
2022-01-02,13:12:00,2200063,402,1
2022-01-02,13:12:00,2200063,500,1
2022-01-02,13:48:00,2200064,109,1
2022-01-02,13:48:00,2200064,205,1
2022-01-02,13:48:00,2200064,300,1
2022-01-02,13:48:00,2200064,411,1
2022-01-02,13:48:00,2200064,508,1
2022-01-02,14:24:00,2200065,101,1
2022-01-02,14:24:00,2200065,207,1
2022-01-02,14:24:00,2200065,313,1
2022-01-02,14:24:00,2200065,412,1
2022-01-02,14:24:00,2200065,500,1
2022-01-02,15:00:00,2200066,105,1
2022-01-02,15:00:00,2200066,201,1
2022-01-02,15:00:00,2200066,302,1
2022-01-02,15:00:00,2200066,400,1
2022-01-02,15:00:00,2200066,502,1
2022-01-02,15:36:00,2200067,100,0
2022-01-02,15:36:00,2200067,213,1
2022-01-02,15:36:00,2200067,301,1
2022-01-02,15:36:00,2200067,412,1
2022-01-02,15:36:00,2200067,504,1
2022-01-02,16:12:00,2200068,101,1
2022-01-02,16:12:00,2200068,208,1
2022-01-02,16:12:00,2200068,311,1
2022-01-02,16:12:00,2200068,409,1
2022-01-02,16:12:00,2200068,504,1
2022-01-02,16:48:00,2200069,101,1
2022-01-02,16:48:00,2200069,202,1
2022-01-02,16:48:00,2200069,303,1
2022-01-02,16:48:00,2200069,403,1
2022-01-02,16:48:00,2200069,509,1
2022-01-02,17:24:00,2200070,100,0
2022-01-02,17:24:00,2200070,213,1
2022-01-02,17:24:00,2200070,300,1
2022-01-02,17:24:00,2200070,404,1
2022-01-02,17:24:00,2200070,507,1
2022-01-02,18:00:00,2200071,107,1
2022-01-02,18:00:00,2200071,215,1
2022-01-02,18:00:00,2200071,312,1
2022-01-02,18:00:00,2200071,404,1
2022-01-02,18:00:00,2200071,503,1
2022-01-02,18:36:00,2200072,106,1
2022-01-02,18:36:00,2200072,216,1
2022-01-02,18:36:00,2200072,300,1
2022-01-02,18:36:00,2200072,410,1
2022-01-02,18:36:00,2200072,507,1
2022-01-02,19:12:00,2200073,106,1
2022-01-02,19:12:00,2200073,200,1
2022-01-02,19:12:00,2200073,310,1
2022-01-02,19:12:00,2200073,403,1
2022-01-02,19:12:00,2200073,500,1
2022-01-02,19:48:00,2200074,102,1
2022-01-02,19:48:00,2200074,204,1
2022-01-02,19:48:00,2200074,310,1
2022-01-02,19:48:00,2200074,407,1
2022-01-02,19:48:00,2200074,500,1
2022-01-02,20:24:00,2200075,104,1
2022-01-02,20:24:00,2200075,210,1
2022-01-02,20:24:00,2200075,300,1
2022-01-02,20:24:00,2200075,408,1
2022-01-02,20:24:00,2200075,511,1
2022-01-02,21:00:00,2200076,101,1
2022-01-02,21:00:00,2200076,210,1
2022-01-02,21:00:00,2200076,302,1
2022-01-02,21:00:00,2200076,405,1
2022-01-02,21:00:00,2200076,505,1
2022-01-02,21:36:00,2200077,100,0
2022-01-02,21:36:00,2200077,214,1
2022-01-02,21:36:00,2200077,301,1
2022-01-02,21:36:00,2200077,403,1
2022-01-02,21:36:00,2200077,510,1
2022-01-02,22:12:00,2200078,100,0
2022-01-02,22:12:00,2200078,200,1
2022-01-02,22:12:00,2200078,310,1
2022-01-02,22:12:00,2200078,411,1
2022-01-02,22:12:00,2200078,504,1
2022-01-02,22:48:00,2200079,105,1
2022-01-02,22:48:00,2200079,215,1
2022-01-02,22:48:00,2200079,302,1
2022-01-02,22:48:00,2200079,400,1
2022-01-02,22:48:00,2200079,508,1
2022-01-02,23:24:00,2200080,102,1
2022-01-02,23:24:00,2200080,210,1
2022-01-02,23:24:00,2200080,312,1
2022-01-02,23:24:00,2200080,410,1
2022-01-02,23:24:00,2200080,507,1
2022-01-03,00:00:00,2200081,109,1
2022-01-03,00:00:00,2200081,209,1
2022-01-03,00:00:00,2200081,301,1
2022-01-03,00:00:00,2200081,412,1
2022-01-03,00:00:00,2200081,504,1
2022-01-03,00:36:00,2200082,105,1
2022-01-03,00:36:00,2200082,211,1
2022-01-03,00:36:00,2200082,308,1
2022-01-03,00:36:00,2200082,409,1
2022-01-03,00:36:00,2200082,501,1
2022-01-03,01:12:00,2200083,100,0
2022-01-03,01:12:00,2200083,218,1
2022-01-03,01:12:00,2200083,312,1
2022-01-03,01:12:00,2200083,414,1
2022-01-03,01:12:00,2200083,505,1
2022-01-03,01:48:00,2200084,100,0
2022-01-03,01:48:00,2200084,217,1
2022-01-03,01:48:00,2200084,302,1
2022-01-03,01:48:00,2200084,402,1
2022-01-03,01:48:00,2200084,504,1
2022-01-03,02:24:00,2200085,106,1
2022-01-03,02:24:00,2200085,207,1
2022-01-03,02:24:00,2200085,312,1
2022-01-03,02:24:00,2200085,408,1
2022-01-03,02:24:00,2200085,510,1
2022-01-03,03:00:00,2200086,102,1
2022-01-03,03:00:00,2200086,211,1
2022-01-03,03:00:00,2200086,307,1
2022-01-03,03:00:00,2200086,403,1
2022-01-03,03:00:00,2200086,511,1
2022-01-03,03:36:00,2200087,100,0
2022-01-03,03:36:00,2200087,211,1
2022-01-03,03:36:00,2200087,308,1
2022-01-03,03:36:00,2200087,407,1
2022-01-03,03:36:00,2200087,511,1
2022-01-03,04:12:00,2200088,102,1
2022-01-03,04:12:00,2200088,216,1
2022-01-03,04:12:00,2200088,310,1
2022-01-03,04:12:00,2200088,405,1
2022-01-03,04:12:00,2200088,502,1
2022-01-03,04:48:00,2200089,104,1
2022-01-03,04:48:00,2200089,216,1
2022-01-03,04:48:00,2200089,313,1
2022-01-03,04:48:00,2200089,408,1
2022-01-03,04:48:00,2200089,506,1
2022-01-03,05:24:00,2200090,106,1
2022-01-03,05:24:00,2200090,213,1
2022-01-03,05:24:00,2200090,310,1
2022-01-03,05:24:00,2200090,412,1
2022-01-03,05:24:00,2200090,504,1
2022-01-03,06:00:00,2200091,105,1
2022-01-03,06:00:00,2200091,207,1
2022-01-03,06:00:00,2200091,305,1
2022-01-03,06:00:00,2200091,409,1
2022-01-03,06:00:00,2200091,502,1
2022-01-03,06:36:00,2200092,100,0
2022-01-03,06:36:00,2200092,207,1
2022-01-03,06:36:00,2200092,312,1
2022-01-03,06:36:00,2200092,401,1
2022-01-03,06:36:00,2200092,504,1
2022-01-03,07:12:00,2200093,107,1
2022-01-03,07:12:00,2200093,210,1
2022-01-03,07:12:00,2200093,307,1
2022-01-03,07:12:00,2200093,412,1
2022-01-03,07:12:00,2200093,509,1
2022-01-03,07:48:00,2200094,107,1
2022-01-03,07:48:00,2200094,208,1
2022-01-03,07:48:00,2200094,311,1
2022-01-03,07:48:00,2200094,409,1
2022-01-03,07:48:00,2200094,502,1
2022-01-03,08:24:00,2200095,107,1
2022-01-03,08:24:00,2200095,212,1
2022-01-03,08:24:00,2200095,313,1
2022-01-03,08:24:00,2200095,401,1
2022-01-03,08:24:00,2200095,509,1
2022-01-03,09:00:00,2200096,106,1
2022-01-03,09:00:00,2200096,207,1
2022-01-03,09:00:00,2200096,310,1
2022-01-03,09:00:00,2200096,410,1
2022-01-03,09:00:00,2200096,501,1
2022-01-03,09:36:00,2200097,102,1
2022-01-03,09:36:00,2200097,202,1
2022-01-03,09:36:00,2200097,306,1
2022-01-03,09:36:00,2200097,411,1
2022-01-03,09:36:00,2200097,511,1
2022-01-03,10:12:00,2200098,105,1
2022-01-03,10:12:00,2200098,206,1
2022-01-03,10:12:00,2200098,306,1
2022-01-03,10:12:00,2200098,412,1
2022-01-03,10:12:00,2200098,508,1
2022-01-03,10:48:00,2200099,106,1
2022-01-03,10:48:00,2200099,202,1
2022-01-03,10:48:00,2200099,309,1
2022-01-03,10:48:00,2200099,407,1
2022-01-03,10:48:00,2200099,501,1
2022-01-03,11:24:00,2200100,103,1
2022-01-03,11:24:00,2200100,205,1
2022-01-03,11:24:00,2200100,312,1
2022-01-03,11:24:00,2200100,410,1
2022-01-03,11:24:00,2200100,512,1
2022-01-03,12:00:00,2200101,108,1
2022-01-03,12:00:00,2200101,204,1
2022-01-03,12:00:00,2200101,303,1
2022-01-03,12:00:00,2200101,406,1
2022-01-03,12:00:00,2200101,510,1
2022-01-03,12:36:00,2200102,106,1
2022-01-03,12:36:00,2200102,209,1
2022-01-03,12:36:00,2200102,311,1
2022-01-03,12:36:00,2200102,405,1
2022-01-03,12:36:00,2200102,504,1
2022-01-03,13:12:00,2200103,102,1
2022-01-03,13:12:00,2200103,211,1
2022-01-03,13:12:00,2200103,309,1
2022-01-03,13:12:00,2200103,408,1
2022-01-03,13:12:00,2200103,501,1
2022-01-03,13:48:00,2200104,105,1
2022-01-03,13:48:00,2200104,213,1
2022-01-03,13:48:00,2200104,304,1
2022-01-03,13:48:00,2200104,401,1
2022-01-03,13:48:00,2200104,511,1
2022-01-03,14:24:00,2200105,109,1
2022-01-03,14:24:00,2200105,216,1
2022-01-03,14:24:00,2200105,307,1
2022-01-03,14:24:00,2200105,402,1
2022-01-03,14:24:00,2200105,511,1
2022-01-03,15:00:00,2200106,102,1
2022-01-03,15:00:00,2200106,214,1
2022-01-03,15:00:00,2200106,313,1
2022-01-03,15:00:00,2200106,401,1
2022-01-03,15:00:00,2200106,506,1
2022-01-03,15:36:00,2200107,107,1
2022-01-03,15:36:00,2200107,217,1
2022-01-03,15:36:00,2200107,305,1
2022-01-03,15:36:00,2200107,406,1
2022-01-03,15:36:00,2200107,503,1
2022-01-03,16:12:00,2200108,108,1
2022-01-03,16:12:00,2200108,207,1
2022-01-03,16:12:00,2200108,312,1
2022-01-03,16:12:00,2200108,404,1
2022-01-03,16:12:00,2200108,501,1
2022-01-03,16:48:00,2200109,101,1
2022-01-03,16:48:00,2200109,211,1
2022-01-03,16:48:00,2200109,308,1
2022-01-03,16:48:00,2200109,414,1
2022-01-03,16:48:00,2200109,501,1
2022-01-03,17:24:00,2200110,103,1
2022-01-03,17:24:00,2200110,217,1
2022-01-03,17:24:00,2200110,309,1
2022-01-03,17:24:00,2200110,408,1
2022-01-03,17:24:00,2200110,506,1
2022-01-03,18:00:00,2200111,100,0
